,ADDRESS,BATHS,BEDS,CITY,DAYS ON MARKET,DESC,HOA/MONTH,LATITUDE,LOCATION,LONGITUDE,LOT SIZE,PRICE,PROPERTY TYPE,SALE TYPE,SQUARE FEET,SQUAREFT,STATE,STATUS,URL,YEAR BUILT,ZIP,FAVORITED
0,711 153rd St SW,3.0,4,Lynnwood,3,"Gorgeous 4 bed 3 bath Lynnwood home w/ high-end finishes throughout makes this home feel like new. Kitchen features large island, SS appliances & Quartz counter-tops. Open & spacious floor plan lets in lots of natural light. Master bedroom w/ walk-in closet and beautiful 5 piece en suite including beautiful gas fireplace for added comfort & ambiance. Office/den on main floor. Fully fenced backyard offers covered patio & garden space. Close to shopping, parks, transit center & I-5/I-405.",0.0,47.8597444,Lynnwood,-122.2430745,7405.0,750000,Single Family Residential,MLS Listing,3252.0,231.0,WA,Active,http://www.redfin.com/WA/Lynnwood/711-153rd-St-SW-98087/home/112744958,2016.0,98087,N
1,4736 S 164th St,1.0,3,Tukwila,3,"Head down the driveway to the privacy of this completely remodeled hidden gem. Updates include:New roof/gutters, garage door, cabinets, granite counter-top, SS appliances, electric panel, H2O heater, washer/dryer. All new windows & flooring, new tile in the kitchen & bathroom, and fresh paint both in & out. Enjoy the multitude of amenities this area has to offer including easy access to the 509,405,I-5,the airport & Light Rail. Large lot is ready for your designs or possible development? Come take a look!",0.0,47.457014,Tukwila,-122.2734284,18160.0,460000,Single Family Residential,MLS Listing,1480.0,311.0,WA,Active,http://www.redfin.com/WA/Tukwila/4736-S-164th-St-98188/home/195127,1960.0,98188,N
2,4123 178th Lane SE #2,2.25,2,Bellevue,3,"Gorgeous 2Bed 2.25Bath Townhome w/ Stunning Views of Lake Sammamish; Enjoy watching the lake from bed or feel the summer breeze while watching eagles fly by from your own private deck! Open layout with double master suite & abundance of natural light & Remodeled Kitchen w/ slab granite & SS appliances. In-unit laundry+storage. Mins to I90/405 & close to P & R's. Nearby parks, trails & DT Bellevue amenities. Award-winning Issaquah schools. No Rental Cap.",318.0,47.5709991,South Lake Sammamish,-122.102356,114792.0,469000,Townhouse,MLS Listing,962.0,488.0,WA,Active,http://www.redfin.com/WA/Bellevue/4123-178th-Ln-SE-98008/unit-2/home/26835,1988.0,98008,N
3,29003 55th Ave S,2.25,5,Auburn,3,"Rare opportunity for this very unique home! This expansive brick rambler on over an acre has tons of updates including: kitchen cabinets, slab granite, SS appliances, all flooring and all three, 3/4 baths. Master bedroom has it's own 3/4 bath. Don't forget to check out the finished bonus room in the back which makes a great office. Two car garage w/ work area & plenty parking for your RV, toys & guests. Tucked away with plenty of privacy on a quiet street yet minutes to I-5 & 167. See it today!",0.0,47.341607,West Hill,-122.2664147,49813.0,699950,Single Family Residential,MLS Listing,2750.0,255.0,WA,Active,http://www.redfin.com/WA/Auburn/29003-55th-Ave-S-98001/home/210068,1971.0,98001,N
4,9252 11th Ave NW,1.75,3,Seattle,3,"Situated on lg corner lot, meticulously maintained home awaits you! Sunny & airy living room w refinished floors & showcase fireplace flows into spacious dining & kitchen. 2 beds on main & updated bath. Lower level w 3rd bed, 3/4 bath & rec/flex room ideal for extra living space. Entertain & play on expansive, fully fenced yard complete w garden beds & fruit trees or build potential ADU. Parking galore w alley access. Located near all of Ballard restaurant, shops & parks w easy to SLU, UW & DT.",0.0,47.6975411,Crown Hill,-122.3697962,7806.0,725000,Single Family Residential,MLS Listing,2060.0,352.0,WA,Active,http://www.redfin.com/WA/Seattle/9252-11th-Ave-NW-98117/home/100736,1942.0,98117,N
5,20325 21st Place W,2.75,4,Lynnwood,3,"Welcome home to entertainers dream. Soaring 2 story formal space w/ show stopping staircase. Gleaming wood flrs lead past nicely appointed office, to lrg great rm. Kitchen offers space to gather & create meals on granite island, wall oven or 5 burner gas range & opens to informal dining space & fam rm w/ gas FP. Venture out to private rear yd for BBQ & enjoy. Main level guest suite or MIL behind kitchen for privacy. Upstairs-3 guest rms, home theater & owner's retreat w/ spa like en suite.",42.0,47.813714,Alderwood Manor,-122.26227790000002,9583.0,775000,Single Family Residential,MLS Listing,2859.0,271.0,WA,Active,http://www.redfin.com/WA/Lynnwood/20325-21st-Pl-W-98036/home/101603492,2014.0,98036,N
6,20306 25th Place W,2.0,4,Lynnwood,3,"First time on the market in over 30 years! This move in ready rambler at the end of a quiet culdesac is a blank slate for your personal touches. Kitchen boasts SS appliances, tile floors and checkered counters & back splash. Three of the 4 bedrooms have hardwoods underneath. Low maintenance yard is great for entertaining w/ enough space for your garden. Room to park an RV and 2-4 additional vehicles. Close to the mall, shopping, I-5, 405 and incoming light rail station.",0.0,47.8143169,Edmonds,-122.2678805,7841.0,525000,Single Family Residential,MLS Listing,1696.0,310.0,WA,Active,http://www.redfin.com/WA/Lynnwood/20306-25th-Pl-W-98036/home/2710855,1965.0,98036,N
7,14011 Ash Wy Unit A,1.5,2,Lynnwood,3,"Truly one-of-a-kind, this spacious 2 bedroom + den rambler on a 1/3+ acre will charm. Fantastic floor plan features dining room w/ huge picture window, bright kitchen that opens to den & living room & beautiful French doors leading to huge deck- perfect for entertaining. Oversized master bedroom, new flooring, & beautiful wood work throughout. Fully fenced corner lot w/ fruit trees, garden beds, fire pit, pizza oven, hot tub, & storage building- perfect for your NW gear! An urban farmer's dream!",0.0,47.8706,Lynnwood,-122.246966,16224.0,429000,Condo/Co-op,MLS Listing,1632.0,263.0,WA,Active,http://www.redfin.com/WA/Lynnwood/14011-Ash-Way-98087/unit-A/home/2910611,1964.0,98087,N
8,507 223rd Place SE,2.5,5,Bothell,3,"Crystal Ridge home, located on quiet cul de sac, offers updated elegance. Pride of ownership evident as you approach. Formal spaces for entertaining flow into open great room. Kitchen boasts new look w/ ample granite counters & new SS apps. Adjoining nook & family rm overlook incredible tiered gardens, unique deck & flagstone patio. Upstairs is large office & nearby guest rm. At top of stairs is large owner's retreat w/ sitting area & giant spa bath, 3 more bdrms & bath. Northshore Schools too.",0.0,47.7958227,Bothell,-122.2248715,12197.0,824900,Single Family Residential,MLS Listing,2686.0,307.0,WA,Active,http://www.redfin.com/WA/Bothell/507-223rd-Pl-SE-98021/home/2815031,1989.0,98021,N
9,9160 53rd Ave W,2.5,3,Mukilteo,3,"Immaculate 3 bedroom home tucked away in a gorgeous Mukilteo neighborhood. Highlights include cozy fireplace, formal dining, bonus room, rec room, & large windows w/ abundance of natural light! Kitchen features tile countertops, ample storage, & flows to a separate eating space. Master bed boasts walk-in closet & 5 piece bath w/ glass shower & soaking tub. Backyard offers deck & covered patio as well as plenty of space for activities! Close to the Sound, Boeing, & easy access to 525. Welcome home!",0.0,47.9154696,Mukilteo,-122.3060716,12362.0,649950,Single Family Residential,MLS Listing,3125.0,208.0,WA,Active,http://www.redfin.com/WA/Mukilteo/9160-53rd-Ave-W-98275/home/2761110,1999.0,98275,N
