,PROPERTY TYPE,ADDRESS,LOCATION,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,DAYS ON MARKET,HOA/MONTH,URL
1,Townhouse 2018,15865 NE 14th Rd Unit 8.1 Bellevue WA 98008,Bellevue,854990.0,2,2.25,187,1,3.0,319.,http://www.redfin.com/WA/Bellevue/15865-NE-14th-St-98008/unit-81/home/145703034
2,Single Family Residential 2018,819 176th Ave NE Bellevue WA 98008,Bretton Wood,1175000.0,5,2.75,328,16156,3.0,274.,http://www.redfin.com/WA/Bellevue/819-176th-Ave-NE-98008/home/503460
3,Single Family Residential 2018,4030 W Lake Sammamish Pkwy SE Bellevue WA 98008,Lake Sammamish,2200000.0,4,3,307,12155,3.0,274.,http://www.redfin.com/WA/Bellevue/4030-W-Lake-Sammamish-Pkwy-SE-98008/home/326094
4,Single Family Residential 2018,130 164th Ave NE Bellevue WA 98008,Lake Hills,2500000.0,13,9.5,788,9000,3.0,274.,http://www.redfin.com/WA/Bellevue/130-164th-Ave-NE-98008/home/500958
5,Single Family Residential 2018,16517 SE 18th St Bellevue WA 98008,Phantom Lake,1850000.0,5,3.25,427,21781,4.0,274.,http://www.redfin.com/WA/Bellevue/16517-SE-18th-St-98008/home/18666377
6,Single Family Residential 2018,154 163rd Place SE Bellevue WA 98008,Lake Hills,799000.0,5,1.75,197,8176,4.0,274.,http://www.redfin.com/WA/Bellevue/154-163rd-Pl-SE-98008/home/427125
7,Single Family Residential 2018,16797 SE 21st Place Bellevue WA 98008,Phantom Lake,929500.0,4,2.75,271,9734,4.0,274.,http://www.redfin.com/WA/Bellevue/16797-SE-21st-Pl-98008/home/428730
8,Single Family Residential 2018,2412 160th Ave NE Bellevue WA 98008,East Lake Sammamish,950000.0,3,2.5,181,11360,4.0,274.,http://www.redfin.com/WA/Bellevue/2412-160th-Ave-NE-98008/home/433035
9,Condo/Co-op 2018,3402 161 St Ct SE #24 Bellevue WA 98008,Spiritridge,629000.0,2,1.75,146,96799,5.0,539.,http://www.redfin.com/WA/Bellevue/3402-161st-Pl-SE-98008/unit-24/home/21824
10,Single Family Residential 2018,1816 175th Place NE Bellevue WA 98008,Tam O'shanter,898000.0,4,2.25,224,7500,5.0,274.,http://www.redfin.com/WA/Bellevue/1816-175th-Pl-NE-98008/home/503788
11,Single Family Residential 2018,16615 SE 15th St Bellevue WA 98008,Phantom Lake,1000000.0,4,2.5,295,8360,5.0,274.,http://www.redfin.com/WA/Bellevue/16615-SE-15th-St-98008/home/429454
12,Single Family Residential 2018,119 162nd Ave SE Bellevue WA 98008,Lake Hills,659950.0,4,2,176,10425,6.0,274.,http://www.redfin.com/WA/Bellevue/119-162nd-Ave-SE-98008/home/426245
13,Single Family Residential 2018,16433 SE 39th Place Bellevue WA 98008,Vasa Park,950000.0,4,3.5,320,7651,7.0,274.,http://www.redfin.com/WA/Bellevue/16433-SE-39th-Pl-98008/home/429754
