,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,PRICE/SQUAREFT,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,DESC,LABEL
0,1,,Townhouse,4228 156th St SW Unit 6D,Lynnwood,WA,98087,238900.0,2,1.5,Keeler's Corner,1100.0,84122.0,1977.0,4.0,217.0,257.0,Active,,,http://www.redfin.com/WA/Lynnwood/4228-156th-St-SW-98087/unit-6D/home/2780480,NWMLS,1288505,N,Y,47.857056,-122.29176499999998,"A commuter's dream w/ this sought after end unit in Olympic View Terrace Condos. Highlights include energy efficient windows, storage unit w/ shelving, brand new plank living room flooring, & peek-a-boo views of Olympic Mts from upstairs. Kitchen boasts ample counter space, plenty of storage, & opens to balcony. Master offers ensuite bath & opens to 2nd balcony. Also includes 2 assigned parking spaces out front of this mature tree lined property. Close to shopping & easy access to 99, I-5, & 405.",0
1,1,,Townhouse,16223 48th Ave W Unit A3,Edmonds,WA,98026,315000.0,2,2.5,Edmonds,1247.0,65212.0,1994.0,6.0,253.0,400.0,Active,,,http://www.redfin.com/WA/Edmonds/16223-48th-Ave-W-98026/unit-A3/home/2841088,NWMLS,1278689,N,Y,47.85165670000001,-122.2978621,"Move in ready Edmonds townhome! Main floor includes hardwood floors throughout, slider access to backyard off dining space, & cozy fireplace. The kitchen looks out to dining space & main living area. Master bedroom offers ensuite bath & walk-in closet. Upstairs also features bonus loft area & an additional spacious bedroom w/ new carpet throughout. Laundry is conveniently located upstairs. Enjoy your patio in the backyard & community park nearby. Close to shopping & easy access to 99, 525, & I-5.",0
2,1,,Single Family Residential,711 153rd St SW,Lynnwood,WA,98087,750000.0,4,3.0,Lynnwood,3252.0,7405.0,2016.0,11.0,231.0,,Active,,,http://www.redfin.com/WA/Lynnwood/711-153rd-St-SW-98087/home/112744958,NWMLS,1285733,N,Y,47.8597444,-122.2430745,"Gorgeous 4 bed 3 bath Lynnwood home w/ high-end finishes throughout makes this home feel like new. Kitchen features large island, SS appliances & Quartz counter-tops. Open & spacious floor plan lets in lots of natural light. Master bedroom w/ walk-in closet and beautiful 5 piece en suite including beautiful gas fireplace for added comfort & ambiance. Office/den on main floor. Fully fenced backyard offers covered patio & garden space. Close to shopping, parks, transit center & I-5/I-405.",0
3,1,,Single Family Residential,15707 E Shore Dr,Lynnwood,WA,98087,938950.0,5,3.5,Martha Lake,3601.0,16553.0,2015.0,18.0,261.0,,Active,,,http://www.redfin.com/WA/Lynnwood/15707-E-Shore-Dr-98087/home/77148194,NWMLS,1277835,N,Y,47.8554751,-122.2384879,"Exquisite Martha Lake home w/ high end finishes throughout! Beautiful open concept living area w/ stone floor to ceiling FP. Chefs kitchen w/ SS appliances, double ovens, & plenty of cabinet space. Spacious bdrm w/ en suite bath & WIC on main floor with french doors to hot tub. Upstairs, 2nd master bdrm w/ 5 piece bath, WIC, & FP! 3 add. generous bdrms. Bonus room wired for surround sound! Fully fenced yard w/ covered patio! Gas hot water tank w/ circulation, Central A/C, & Smart garage door openers.",0
4,1,,Townhouse,14206 26th Ave W Unit 27A,Lynnwood,WA,98087,436500.0,4,3.5,Lynnwood,1833.0,3000.0,2003.0,75.0,238.0,362.0,Active,May-19-2018 02:00 PM,May-19-2018 04:00 PM,http://www.redfin.com/WA/Lynnwood/14206-26th-Ave-W-98087/unit-27-A/home/2907601,NWMLS,1249908,N,Y,47.869489,-122.26800800000001,"BACK ON MARKET. Buyer failed financing. Beautiful 3 story, rare 4 bedroom, town home in Rosemount Community! Main level features bright living area w/ cozy gas fireplace and sliding doors to front balcony! Dining area directly off kitchen with newer stainless stainless steel appliances and access to deck and fully fenced backyard. Unit features 2 master bedrooms with attached baths. Newer carpet, washer & dryer and hot water tank. Easy access to I-5 and 405, shopping and public transit.",0
5,1,,Condo/Co-op,14131 Admiralty Wy Unit C,Lynnwood,WA,98087,250000.0,2,1.5,Lynnwood,1000.0,10092.0,1986.0,4.0,250.0,103.0,Active,,,http://www.redfin.com/WA/Lynnwood/14131-Admiralty-Way-98087/unit-C/home/16878906,NWMLS,1290494,N,Y,47.8697468,-122.2708202,"Intimate community of 4 townhomes sited on a quiet, dead end street. Rare, fully fenced sunny deck & backyard. Efficient kitchen w/ granite & maple cabinets. Modern updates & neutral colors. Large rooms & plenty of closet & storage space. Low dues with/water & sewer included. Short walk to transit & shopping. Convenient freeway access. Mukilteo Schools! Two dedicated parking spaces just outside your front door. Pets ok. This cutie is move in ready & will not last long!",0
6,1,,Townhouse,14913 48th Ave W Unit P-3,Edmonds,WA,98026,440900.0,2,2.25,Edmonds,1381.0,1170.0,2018.0,5.0,319.0,124.0,Active,,,http://www.redfin.com/WA/Edmonds/14913-48th-Ave-W-98026/unit-P-3/home/145607347,NWMLS,1290447,N,Y,47.863255,-122.29774499999999,"Presenting Unit P-3 the 1381 plan at Archerfield, By Westcott Homes * Quartz Counters with Under mount Sinks * Full Tile Back Splash * Shaker Style Cabinets * Beautiful Laminate Flooring Throughout The Main Level * Keyless Front Entry * Theater Lighting * Full Tile Master Shower * Heated Tile Master Bathroom Floors * Guest Bedroom with Full in Suite Bath * Blinds and Screens Included * Balcony * Easy Maintenance * Fast Access to 405!",0
7,1,,Single Family Residential,14721 Meridian Dr SE,Lynnwood,WA,98087,659950.0,5,2.75,Martha Lake,2984.0,6970.0,2005.0,5.0,221.0,,Active,,,http://www.redfin.com/WA/Lynnwood/14721-Meridian-Dr-SE-98087/home/2915224,NWMLS,1290418,N,Y,47.863992200000006,-122.23230520000001,"Beautifully updated 5 bedroom home in desirable Martha Lake, situated nicely at the end of a cul-de-sac. Home features hardwoods & slate flooring, new carpets, crown molding throughout, quarts counter tops w/ glass tile back splash, SS appliances, butler's pantry, 5 piece master w/ dual master closets, custom wine room & bar, fully fenced backyard w/ landscaping, oversized deck for entertaining, craft closet, shed/shop, new trim paint, close to Martha Lake Airport Park, and much more!",0
8,1,,Single Family Residential,14229 15 Place W,Lynnwood,WA,98087,648900.0,4,2.75,Lake Stickney,2542.0,7235.0,2005.0,5.0,255.0,21.0,Active,,,http://www.redfin.com/WA/Lynnwood/14229-15th-Pl-W-98087/home/2914208,NWMLS,1290248,N,Y,47.868508,-122.2528539,"Well maintained CORNER LOT home with plenty of guests parking! 4 bedrooms, 3 baths, plus den/office on main floor! Perfect 3 car garage space for those DIY weekend projects! Vaulted ceiling, skylights, hardwood floor entry and kitchen. Carpet flooring in both the family room and great room for that homey feeling. Spacious backyard with covered deck! Mukilteo School district! Minutes away from freeway access!",0
9,1,,Townhouse,3116 164th St SW #2214,Lynnwood,WA,98087,340000.0,2,1.75,Lynnwood,1131.0,661695.0,2001.0,5.0,301.0,346.0,Active,,,http://www.redfin.com/WA/Lynnwood/3116-164th-St-SW-98087/unit-2214/home/22959597,NWMLS,1282084,N,Y,47.8481662,-122.27603909999998,"Privately situated town home against a canopy of trees. You'll enjoy the privacy that comes with this updated end unit. Unique layout with just a few steps up to the main floor. Private ground floor patio off main floor is perfect for BBQ or gardening. Freshly painted and turnkey. The attached garage has extra storage capacity. Master bedroom with private 3/4 bath, open concept main living area, kitchen with SS appliances & granite counters. Centrally located to I-5, 405, 99 & the Speedway.",0
