SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,711 153rd St SW,Lynnwood,WA,98087,750000,4,3.0,Lynnwood,3252,7405,2016,3,231,,Active,,,http://www.redfin.com/WA/Lynnwood/711-153rd-St-SW-98087/home/112744958,NWMLS,1285733,N,Y,47.8597444,-122.2430745
MLS Listing,,Single Family Residential,4736 S 164th St,Tukwila,WA,98188,460000,3,1.0,Tukwila,1480,18160,1960,3,311,,Active,,,http://www.redfin.com/WA/Tukwila/4736-S-164th-St-98188/home/195127,NWMLS,1286217,N,Y,47.457014,-122.2734284
MLS Listing,,Townhouse,4123 178th Lane SE #2,Bellevue,WA,98008,469000,2,2.25,South Lake Sammamish,962,114792,1988,3,488,318,Active,,,http://www.redfin.com/WA/Bellevue/4123-178th-Ln-SE-98008/unit-2/home/26835,NWMLS,1286138,N,Y,47.5709991,-122.102356
MLS Listing,,Single Family Residential,29003 55th Ave S,Auburn,WA,98001,699950,5,2.25,West Hill,2750,49813,1971,3,255,,Active,,,http://www.redfin.com/WA/Auburn/29003-55th-Ave-S-98001/home/210068,NWMLS,1284289,N,Y,47.341607,-122.2664147
MLS Listing,,Single Family Residential,9252 11th Ave NW,Seattle,WA,98117,725000,3,1.75,Crown Hill,2060,7806,1942,3,352,,Active,,,http://www.redfin.com/WA/Seattle/9252-11th-Ave-NW-98117/home/100736,NWMLS,1283598,N,Y,47.6975411,-122.3697962
MLS Listing,,Single Family Residential,20325 21st Place W,Lynnwood,WA,98036,775000,4,2.75,Alderwood Manor,2859,9583,2014,3,271,42,Active,,,http://www.redfin.com/WA/Lynnwood/20325-21st-Pl-W-98036/home/101603492,NWMLS,1285958,N,Y,47.813714,-122.2622779
MLS Listing,,Single Family Residential,20306 25th Place W,Lynnwood,WA,98036,525000,4,2.0,Edmonds,1696,7841,1965,3,310,,Active,,,http://www.redfin.com/WA/Lynnwood/20306-25th-Pl-W-98036/home/2710855,NWMLS,1285552,N,Y,47.8143169,-122.2678805
MLS Listing,,Condo/Co-op,14011 Ash Wy Unit A,Lynnwood,WA,98087,429000,2,1.5,Lynnwood,1632,16224,1964,3,263,,Active,,,http://www.redfin.com/WA/Lynnwood/14011-Ash-Way-98087/unit-A/home/2910611,NWMLS,1282931,N,Y,47.8706,-122.246966
MLS Listing,,Single Family Residential,507 223rd Place SE,Bothell,WA,98021,824900,5,2.5,Bothell,2686,12197,1989,3,307,,Active,,,http://www.redfin.com/WA/Bothell/507-223rd-Pl-SE-98021/home/2815031,NWMLS,1285931,N,Y,47.7958227,-122.2248715
MLS Listing,,Single Family Residential,9160 53rd Ave W,Mukilteo,WA,98275,649950,3,2.5,Mukilteo,3125,12362,1999,3,208,,Active,,,http://www.redfin.com/WA/Mukilteo/9160-53rd-Ave-W-98275/home/2761110,NWMLS,1269898,N,Y,47.9154696,-122.3060716
