,PROPERTY TYPE,ADDRESS,LOCATION,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,DAYS ON MARKET,HOA/MONTH,URL
1,Multi-Family (5+ Unit) 2018,14045 Greenwood Ave N Seattle WA 98133,Greenwood,2350000.0,5,6,484,8115,43,212.,http://www.redfin.com/WA/Seattle/14045-Greenwood-Ave-N-98133/home/2087036
2,Townhouse 2018,1272 N 143 St Seattle WA 98133,Haller Lake,535000.0,3,2.25,132,929,43,212.,http://www.redfin.com/WA/Seattle/1272-N-143rd-St-98133/home/28581505
3,Single Family Residential 2018,13125 Ashworth Ave N Seattle WA 98133,Haller Lake,595000.0,3,1,125,10200,43,212.,http://www.redfin.com/WA/Seattle/13125-Ashworth-Ave-N-98133/home/102325
4,Single Family Residential 2018,18540 Stone Ave N Shoreline WA 98133,Shoreline,859000.0,5,3,253,5387,46,212.,http://www.redfin.com/WA/Shoreline/18540-Stone-Ave-N-98133/home/22614286
5,Single Family Residential 2018,15208 Dayton Ave N Shoreline WA 98133,Westminster,1049999.0,5,2.75,271,5138,46,32.0,http://www.redfin.com/WA/Shoreline/15208-Dayton-Ave-N-98133/home/82603
6,Multi-Family (2-4 Unit) 2018,319 N 105th St Seattle WA 98133,Greenwood,1150000.0,8,4,328,4900,46,212.,http://www.redfin.com/WA/Seattle/319-N-105th-St-98133/home/2085593
7,Condo/Co-op 2018,300 N 130th St #2201 Seattle WA 98133,Seattle,287000.0,1,1,647,97298,46,379.,http://www.redfin.com/WA/Seattle/300-N-130th-St-98133/unit-2201/home/12307220
8,Single Family Residential 2018,17318 Ashworth Ave N Shoreline WA 98133,Meridian Park,550000.0,3,2,187,7234,47,212.,http://www.redfin.com/WA/Shoreline/17318-Ashworth-Ave-N-98133/home/82758
9,Single Family Residential 2018,18002 Stone Ave N Shoreline WA 98133,Meridian Park,929000.0,3,2,269,12000,47,212.,http://www.redfin.com/WA/Shoreline/18002-Stone-Ave-N-98133/home/83332
10,Single Family Residential 2018,15735 Stone Ave N Shoreline WA 98133,Parkwood,695000.0,4,2.5,258,8209,49,212.,http://www.redfin.com/WA/Shoreline/15735-Stone-Ave-N-98133/home/82487
11,Townhouse 2018,10715 Greenwood Ave N Unit B Seattle WA 98133,Broadview,500000.0,2,1.5,122,834,49,212.,http://www.redfin.com/WA/Seattle/10715-Greenwood-Ave-N-98133/unit-B/home/21976102
12,Vacant Land 2018,119 N 205th St Shoreline WA 98133,Shoreline,621000.0,0,2.69,266,18500,52,212.,http://www.redfin.com/WA/Seattle/119-N-205th-St-98133/home/146432184
